<<<<<<< HEAD
﻿Site Name,Services Delivered at Site,Health Center Type,Health Center Location Type,Health Center Location Setting,County,State
ELKLAND LAUREL HEALTH CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Tioga County,PA
Santee - Yerba Buena Community Health Center,Yes,Service Delivery Site,Permanent,School,Santa Clara County,CA
PLAINVIEW HEALTH SERVICES,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Duplin County,NC
Wilmington Community Clinic,No,Administrative,Permanent,Unknown,Los Angeles County,CA
Ampla Health Chico Medical & Pediatrics,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Butte County,CA
Good Samaritan Clinic Mobile Unit,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Burke County,NC
ARcare - 50,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Woodruff County,AR
HEALTHY SMILES DENTAL CENTER,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Portsmouth City,VA
LifeLong Medical Care-Pinole Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Contra Costa County,CA
Children's Hospital La Family Housing,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA
Oxford Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Butler County,OH
PMS - TORREON  HEALTH CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Sandoval County,NM
Chrysalis Behavioral Health,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lane County,OR
ACCESS Family Care Neosho,No,Administrative,Permanent,All Other Clinic Types,Newton County,MO
CCI-Greenway,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Prince George's County,MD
MOUNT VERNON NEIGHBORHOOD HEALTH CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Westchester County,NY
FamilyCare Health Center - Teays Valley,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Putnam County,WV
Eaton Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Eaton County,MI
Tyler Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Smith County,TX
OPEN DOOR MISSION,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Harris County,TX
Neighborcare Health at Madison Middle School,Yes,Service Delivery Site,Seasonal,School,King County,WA
Chesapeake Health Care - Sweetbay Mental Health,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Wicomico County,MD
KUHIO PARK TERRACE PUB. HOUSING,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Honolulu County,HI
HAUIKI HOMES PUBLIC HOUSING,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Honolulu County,HI
Family Health Centers of Baltimore,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Baltimore City,MD
FOREST MANOR APTS SUPP. HOUSING,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Arapahoe County,CO
Wayne Primary Care,Yes,Service Delivery Site,Permanent,School,Erie County,PA
"La Cl&#237;nica de La Raza, Inc. - Information Technology",No,Administrative,Permanent,Unknown,Alameda County,CA
OCEAN HEALTH INITIATIVES LAKEWOOD SITE,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Ocean County,NJ
CATHEDRAL CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Harris County,TX
Vineyard Cooper Road,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Franklin County,OH
N.E.W. Dental Clinic at NWTC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Brown County,WI
Greater Lowell Technical High School,Yes,Service Delivery Site,Permanent,School,Middlesex County,MA
Rural Health Group Women's Health,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Halifax County,NC
Lone Star Circle of Care Pediatrics at Harker Heights,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bell County,TX
Howard Brown Health South Side Mobile,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Cook County,IL
Miami Edison Senior High School,Yes,Service Delivery Site,Permanent,School,Miami-Dade County,FL
Northside Community Health Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Tarrant County,TX
CHAS Health at Rogers High School,Yes,Service Delivery Site,Permanent,School,Spokane County,WA
Great Lakes Bay Health Centers Women&#39;s Care West Branch,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Ogemaw County,MI
Evans Street Mental Health Integration Site,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Yamhill County,OR
Rubidoux Family Care Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Riverside County,CA
Wheeler Elementary School,Yes,Service Delivery Site,Permanent,School,Marion County,IN
Kathryn Winn Elementary School,Yes,Service Delivery Site,Seasonal,School,Carroll County,KY
SHELTERHOUSE-Barron Center for Men,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Hamilton County,OH
Waymart Pediatric Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Wayne County,PA
Legacy Bissonnet Street,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Harris County,TX
Tri-Area Community Health Center at Floyd,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Floyd County,VA
Mercy Site Summit High School,Yes,Service Delivery Site,Permanent,School,Williamson County,TN
Callen-Lorde Bronx,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Bronx County,NY
SJWCFC at Magnolia Place,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA
PS 46 Tappan,Yes,Service Delivery Site,Seasonal,School,New York County,NY
Community Health Center of Central Wyoming,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Natrona County,WY
Wesley Health Centers - Downey,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA
Partnership Community Health Center - Medical and Behavioral Care,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Outagamie County,WI
219 Health Network Inc.,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lake County,IN
MERCE DENTAL CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Randolph County,NC
Hazardville Memorial School SBHC,Yes,Service Delivery Site,Permanent,School,Hartford County,CT
Elica Health Centers - Revere Medical Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Sacramento County,CA
WELSH MTN MEDICAL & DENTAL CTR,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Lancaster County,PA
El Pueblo Health Services,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Sandoval County,NM
Bentworth Middle School,Yes,Service Delivery Site,Permanent,School,Washington County,PA
MAP @ Garredd,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Richmond County,GA
Esperanza Administrative Offices,No,Administrative,Permanent,Unknown,Cook County,IL
Waipahu Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Honolulu County,HI
Ezra Sparrow Healthy Kids Clinic,Yes,Service Delivery Site,Permanent,School,Anderson County,KY
Administration,No,Administrative,Permanent,All Other Clinic Types,Snohomish County,WA
ACHS - Whitefield,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Coos County,NH
Missouri Ozarks Community Health,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Wright County,MO
Santa Clara Elementary School,Yes,Service Delivery Site,Permanent,School,Miami-Dade County,FL
CHS Pi Beta Phi Elementary School Clinic,Yes,Service Delivery Site,Permanent,School,Sevier County,TN
Dinuba Community Health Center – Building 2,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Tulare County,CA
Oakridge Upper Elementary School,Yes,Service Delivery Site,Seasonal,School,Muskegon County,MI
Burton Health Center,Yes,Service Delivery Site,Permanent,School,Kent County,MI
Mountain View Middle School Based Dental,Yes,Service Delivery Site,Permanent,School,Chaves County,NM
Yankton Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Yankton County,SD
Kheir-Wilshire Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA
NMC Orange Avenue Site,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Leon County,FL
Community Health Center of Niagara,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Niagara County,NY
Hollister R-V School District - Hollister High School,Yes,Service Delivery Site,Permanent,School,Taney County,MO
Denver Health and Hosptials,No,Administrative,Permanent,Unknown,Denver County,CO
Community Health Centers of Pinellas at Oldsmar,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Pinellas County,FL
Salud Brighton High School,Yes,Service Delivery Site,Seasonal,School,Adams County,CO
REFUAH HEALTH CENTER,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Rockland County,NY
Peachtree Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cherokee County,NC
Lifespan Women & Children Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Hardin County,TN
CommUnityCare South Brook Pediatrics,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Travis County,TX
All For Health,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Luis Obispo County,CA
Hamilton Homeless Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Genesee County,MI
Salvation Army Harbor Light Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Hennepin County,MN
COMMUNITY HEALTH CENTERS LOS ROBLES,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Luis Obispo County,CA
Sullivan Senior Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Litchfield County,CT
Great Lakes Bay Health Centers Wolverine Vassar #2,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Tuscola County,MI
Universal Primary Care - Salamanca Site,Yes,Service Delivery Site,Permanent,Hospital,Cattaraugus County,NY
"Sierra Family Medical Clinic, Oregon House",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Yuba County,CA
Capstone Rural Health Center - Arley,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Winston County,AL
All For Health-Montrose,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA
BUTTE RESCUE MISSION,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Silver Bow County,MT
North Point Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Shasta County,CA
LOGAN FAMILY MEDICINE,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cabarrus County,NC
"Wabash Valley Health Center, Inc.",Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Vigo County,IN
EWF Stirrup Elementary School,Yes,Service Delivery Site,Permanent,School,Miami-Dade County,FL
North Country OB/GYN,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Warren County,NY
Avoyelles Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Avoyelles Parish,LA
Edison Park K-8 Center,Yes,Service Delivery Site,Seasonal,School,Miami-Dade County,FL
P.S. 59,Yes,Service Delivery Site,Permanent,School,Kings County,NY
HHC-Downey School,Yes,Service Delivery Site,Permanent,School,Dauphin County,PA
Adelphi MD,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Prince George's County,MD
North Shore Hospital,Yes,Service Delivery Site,Permanent,Hospital,Cook County,MN
Eight Mile Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Mobile County,AL
FamilyCare Health Center - Mary C. Snow West Side Elementary,Yes,Service Delivery Site,Permanent,School,Kanawha County,WV
Kintegra/SHA Mobile Medical Unit,Yes,Service Delivery Site,Mobile Van,School,Forsyth County,NC
STRIDE CHC- East Colfax,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Adams County,CO
Winnsboro Pediatrics and Family Practice,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Fairfield County,SC
Chambers Quality Health Care,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Chambers County,AL
Women's Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Wayne County,PA
CommUnityCare East Austin,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Travis County,TX
Palms Medical Group Administration - Conference,No,Administrative,Permanent,Unknown,Alachua County,FL
Frontera Healthcare Network - Brady Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,McCulloch County,TX
COSSMA Naguabo,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Naguabo Municipio,PR
GPW Health Center - Dumfries,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Prince William County,VA
Jesse J. McCrary Jr. Elementary School,Yes,Service Delivery Site,Seasonal,School,Miami-Dade County,FL
Open Door Community Health Centers - IT Department,No,Administrative,Permanent,Unknown,Humboldt County,CA
PHMC Care Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Philadelphia County,PA
Community Health Center of Cape Cod - Falmouth,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Barnstable County,MA
Lincoln Community  Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lincoln Parish,LA
Children's Hospital Oakland Behavioral Health,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Alameda County,CA
YVFWC MOBILE DENTAL UNIT #2,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Yakima County,WA
Harvard Street Neighborhood Health Center,No,Administrative,Permanent,Unknown,Suffolk County,MA
Heartland Health Center - Hibbard,Yes,Service Delivery Site,Permanent,School,Cook County,IL
Valley Heatlh Center Alexian,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Santa Clara County,CA
Convalescent Care Program,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Baltimore City,MD
Greater Portland Health at King Middle School,Yes,Service Delivery Site,Seasonal,School,Cumberland County,ME
CFH - Jackson High Health Center,Yes,Service Delivery Site,Permanent,School,Jackson County,MI
Kansas City CARE Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Jackson County,MO
Neighborhood Healthcare ~ Menifee Suite C,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Riverside County,CA
"WOOD RIVER HEALTH SERVICES, INC.",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Washington County,RI
Walsenburg OB Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Huerfano County,CO
Birch Hill Elementary School,Yes,Service Delivery Site,Seasonal,School,Hillsborough County,NH
Barnesville Family Dental Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Belmont County,OH
Erie County Job &amp; Family Services,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Erie County,OH
Bryan Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Williams County,OH
Pine Apple Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Wilcox County,AL
LCHC @ Sheridan Elementary,Yes,Service Delivery Site,Seasonal,School,Sheboygan County,WI
PrimaryOne Health 1180 East Main Street,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Franklin County,OH
Ozarks Communith Health Center - Miles for Smiles,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Polk County,MO
"David Raines Community Health Centers, Inc. - Bossier ",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bossier Parish,LA
Ke Ola Mamo,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Honolulu County,HI
Atlantic House Shelter,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kings County,NY
Northeast Community Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA
LMC - EAST OAKLAND CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Alameda County,CA
WOODLAND AVENUE HEALTH CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Philadelphia County,PA
MedLink Winder - Expanded Health Services,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Barrow County,GA
FAMILY HEALTH CENTER - BLACK RIVER FALLS DENTAL CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Jackson County,WI
Mobile Medical Unit,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Walker County,GA
